cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
0,spread,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016935,275,OPT
1,spread,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164099,275,OPT
2,spread,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160854,275,OPT
3,spread,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167005,275,OPT
4,spread,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160089,275,OPT
5,spread,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159286,275,OPT
6,spread,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163392,275,OPT
7,spread,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158433,275,OPT
8,spread,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161928,275,OPT
9,spread,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.017525,287,OPT
10,spread,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161978,287,OPT
11,spread,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163156,287,OPT
12,spread,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167113,287,OPT
13,spread,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165148,287,OPT
14,spread,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164664,287,OPT
15,spread,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173957,287,OPT
16,spread,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158747,287,OPT
17,spread,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159444,287,OPT
18,spread,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167483,287,OPT
19,spread,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160607,287,OPT
20,spread,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165986,287,OPT
21,spread,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173107,287,OPT
22,spread,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016452,287,OPT
23,spread,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161146,287,OPT
24,spread,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167428,287,OPT
25,spread,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159598,287,OPT
26,spread,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015688,287,OPT
27,min,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167306,285,OPT
28,min,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162973,285,OPT
29,min,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163171,285,OPT
30,min,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016685,285,OPT
31,min,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161628,285,OPT
32,min,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0157967,285,OPT
33,min,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164472,285,OPT
34,min,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015976,285,OPT
35,min,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162523,285,OPT
36,min,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0168067,283,OPT
37,min,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166457,283,OPT
38,min,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162312,283,OPT
39,min,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163635,283,OPT
40,min,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161041,283,OPT
41,min,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163982,283,OPT
42,min,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173429,283,OPT
43,min,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161367,283,OPT
44,min,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164247,283,OPT
45,min,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167424,283,OPT
46,min,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015986,283,OPT
47,min,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163966,283,OPT
48,min,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165226,283,OPT
49,min,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163273,283,OPT
50,min,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158198,283,OPT
51,min,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167807,283,OPT
52,min,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016401,283,OPT
53,min,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015923,283,OPT
54,sum,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163036,253,OPT
55,sum,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161497,253,OPT
56,sum,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160678,253,OPT
57,sum,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166247,253,OPT
58,sum,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016111,253,OPT
59,sum,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015946,253,OPT
60,sum,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167922,253,OPT
61,sum,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159692,253,OPT
62,sum,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159074,253,OPT
63,sum,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164385,250,OPT
64,sum,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166203,250,OPT
65,sum,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0157693,250,OPT
66,sum,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164658,250,OPT
67,sum,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159235,250,OPT
68,sum,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163328,250,OPT
69,sum,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164653,250,OPT
70,sum,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015957,250,OPT
71,sum,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159161,250,OPT
72,sum,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164983,250,OPT
73,sum,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161461,250,OPT
74,sum,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158443,250,OPT
75,sum,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166063,250,OPT
76,sum,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0156002,250,OPT
77,sum,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016132,250,OPT
78,sum,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165712,250,OPT
79,sum,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158198,250,OPT
80,sum,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161972,250,OPT
0,spread,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284255,2532,OPT
1,spread,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284666,2571,OPT
2,spread,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0290195,2571,OPT
3,spread,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285015,2532,OPT
4,spread,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281277,2571,OPT
5,spread,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284168,2571,OPT
6,spread,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0280476,2532,OPT
7,spread,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283179,2571,OPT
8,spread,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0286876,2571,OPT
9,spread,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0295249,2520,OPT
10,spread,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285226,2544,OPT
11,spread,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281397,2544,OPT
12,spread,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0303084,2520,OPT
13,spread,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284872,2544,OPT
14,spread,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028541,2544,OPT
15,spread,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029518,2520,OPT
16,spread,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283278,2544,OPT
17,spread,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281644,2544,OPT
18,spread,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297155,2520,OPT
19,spread,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282389,2544,OPT
20,spread,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282387,2544,OPT
21,spread,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029876,2520,OPT
22,spread,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028146,2544,OPT
23,spread,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281731,2544,OPT
24,spread,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0298673,2520,OPT
25,spread,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0288072,2544,OPT
26,spread,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284845,2544,OPT
27,min,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0287753,2698,OPT
28,min,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0293232,2748,OPT
29,min,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297667,2748,OPT
30,min,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0293571,2698,OPT
31,min,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299432,2748,OPT
32,min,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0320683,2748,OPT
33,min,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0294604,2698,OPT
34,min,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0295613,2748,OPT
35,min,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299158,2748,OPT
36,min,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0305213,2698,OPT
37,min,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0298152,2748,OPT
38,min,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297785,2748,OPT
39,min,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0305006,2698,OPT
40,min,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296758,2748,OPT
41,min,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297698,2748,OPT
42,min,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0309362,2698,OPT
43,min,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296703,2748,OPT
44,min,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0300579,2748,OPT
45,min,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0318518,2698,OPT
46,min,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0307899,2748,OPT
47,min,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0311385,2748,OPT
48,min,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0316474,2698,OPT
49,min,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0301337,2748,OPT
50,min,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0292239,2748,OPT
51,min,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0300517,2698,OPT
52,min,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0294543,2748,OPT
53,min,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299602,2748,OPT
54,sum,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0248339,2029,OPT
55,sum,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.023909,2058,OPT
56,sum,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0245424,2058,OPT
57,sum,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0246105,2029,OPT
58,sum,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0253674,2058,OPT
59,sum,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0255902,2058,OPT
60,sum,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0261278,2029,OPT
61,sum,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0257259,2058,OPT
62,sum,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.025691,2058,OPT
63,sum,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0246617,1928,OPT
64,sum,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0240387,1978,OPT
65,sum,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0236421,1978,OPT
66,sum,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0236209,1928,OPT
67,sum,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0236286,1978,OPT
68,sum,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0239219,1978,OPT
69,sum,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0234639,1928,OPT
70,sum,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0234405,1978,OPT
71,sum,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0235631,1978,OPT
72,sum,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0239698,1928,OPT
73,sum,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0235058,1978,OPT
74,sum,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0235562,1978,OPT
75,sum,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0233921,1928,OPT
76,sum,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.023582,1978,OPT
77,sum,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0238417,1978,OPT
78,sum,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0235799,1928,OPT
79,sum,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0234694,1978,OPT
80,sum,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0239102,1978,OPT
0,spread,4,0.3,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0180118,1,OPT
1,spread,4,0.3,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0179199,1,OPT
2,spread,4,0.3,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0185499,1,OPT
3,spread,4,0.5,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0185099,1,OPT
4,spread,4,0.5,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0182428,1,OPT
5,spread,4,0.5,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0185705,1,OPT
6,spread,4,0.8,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0182382,1,OPT
7,spread,4,0.8,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0180279,1,OPT
8,spread,4,0.8,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0180912,1,OPT
9,spread,8,0.3,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0179276,1,OPT
10,spread,8,0.3,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0173502,1,OPT
11,spread,8,0.3,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0171246,1,OPT
12,spread,8,0.5,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0170446,1,OPT
13,spread,8,0.5,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0172185,1,OPT
14,spread,8,0.5,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0175635,1,OPT
15,spread,8,0.8,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0173223,1,OPT
16,spread,8,0.8,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0172938,1,OPT
17,spread,8,0.8,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0172959,1,OPT
18,spread,16,0.3,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0176936,1,OPT
19,spread,16,0.3,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.017228,1,OPT
20,spread,16,0.3,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0175339,1,OPT
21,spread,16,0.5,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0170388,1,OPT
22,spread,16,0.5,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0169773,1,OPT
23,spread,16,0.5,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0170442,1,OPT
24,spread,16,0.8,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0172561,1,OPT
25,spread,16,0.8,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0173672,1,OPT
26,spread,16,0.8,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0172968,1,OPT
27,min,4,0.3,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0173654,1,OPT
28,min,4,0.3,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0177888,1,OPT
29,min,4,0.3,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0177998,1,OPT
30,min,4,0.5,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0176082,1,OPT
31,min,4,0.5,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0169719,1,OPT
32,min,4,0.5,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.017516,1,OPT
33,min,4,0.8,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0176821,1,OPT
34,min,4,0.8,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0177067,1,OPT
35,min,4,0.8,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0174853,1,OPT
36,min,8,0.3,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0171698,1,OPT
37,min,8,0.3,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0178126,1,OPT
38,min,8,0.3,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.017911,1,OPT
39,min,8,0.5,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0173911,1,OPT
40,min,8,0.5,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0170563,1,OPT
41,min,8,0.5,8,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.017736,1,OPT
42,min,8,0.8,2,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0181804,1,OPT
43,min,8,0.8,4,cal_n15_rdd0.3_M4_s1153,15,4,29.2222,1,0,0.0183138,1,OPT
